,time,sex,age,is_citizen,region,where_live,lang_before,lang_after,movies_before,movies_after,content_before,content_after
76,2023/01/31 1:25:07 дп GMT+2,Female,19,yes,Сentral-north,temp_abroad,5,4,"['English', 'russian', 'other']",['other'],2,2
77,2023/01/31 7:34:07 дп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,4,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,2
78,2023/01/31 10:17:26 дп GMT+2,Male,41,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,2
79,2023/01/31 10:43:35 дп GMT+2,Male,24,yes,East,in_Ukraine,5,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",4,1
80,2023/01/31 11:45:55 дп GMT+2,Female,30,yes,East,temp_abroad,5,5,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'russian']",5,4
81,2023/01/31 11:49:38 дп GMT+2,Female,20,yes,East,perm_abroad,5,4,['russian'],"['Ukrainian', 'English', 'russian']",3,3
82,2023/01/31 11:53:41 дп GMT+2,Female,43,yes,East,temp_abroad,3,1,"['Ukrainian', 'English']","['Ukrainian', 'English', 'other']",3,1
83,2023/01/31 11:54:22 дп GMT+2,Female,38,yes,East,temp_abroad,5,3,['russian'],['russian'],3,1
84,2023/01/31 11:56:46 дп GMT+2,Female,30,yes,Сentral-north,temp_abroad,3,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'other']",3,2
85,2023/01/31 12:09:17 пп GMT+2,Male,45,yes,Сentral-north,temp_abroad,5,4,['russian'],['Ukrainian'],4,2
86,2023/01/31 12:09:27 пп GMT+2,Female,52,yes,East,temp_abroad,4,3,['russian'],"['Ukrainian', 'russian']",3,1
88,2023/01/31 12:40:11 пп GMT+2,Male,24,yes,West,in_Ukraine,2,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",4,1
89,2023/01/31 12:52:34 пп GMT+2,Female,39,yes,Сentral-north,temp_abroad,3,2,['Ukrainian'],['Ukrainian'],3,1
90,2023/01/31 1:01:11 пп GMT+2,Male,18,yes,Сentral-north,perm_abroad,4,4,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'russian']",3,2
91,2023/01/31 1:01:38 пп GMT+2,Female,42,yes,Сentral-north,temp_abroad,4,2,"['Ukrainian', 'other']","['Ukrainian', 'other']",2,2
91,2023/01/31 1:01:38 пп GMT+2,Female,42,yes,South,temp_abroad,4,2,"['Ukrainian', 'other']","['Ukrainian', 'other']",2,2
92,2023/01/31 1:27:59 пп GMT+2,Male,21,yes,Сentral-north,in_Ukraine,5,2,"['English', 'russian']","['Ukrainian', 'English']",3,2
92,2023/01/31 1:27:59 пп GMT+2,Male,21,yes,East,in_Ukraine,5,2,"['English', 'russian']","['Ukrainian', 'English']",3,2
93,2023/01/31 1:52:18 пп GMT+2,Female,30,yes,East,temp_abroad,4,3,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
94,2023/01/31 2:55:46 пп GMT+2,Female,44,yes,Сentral-north,temp_abroad,3,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",2,1
94,2023/01/31 2:55:46 пп GMT+2,Female,44,yes,East,temp_abroad,3,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",2,1
